path,label,dataset,speaker,split
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-03-01-02-02-01.wav,joy,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-03-02-01-01-01.wav,joy,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-03-02-01-02-01.wav,joy,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-03-02-02-01-01.wav,joy,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-03-02-02-02-01.wav,joy,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-04-01-01-01-01.wav,sadness,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-04-01-01-02-01.wav,sadness,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-04-01-02-01-01.wav,sadness,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-04-01-02-02-01.wav,sadness,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-04-02-01-01-01.wav,sadness,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-04-02-01-02-01.wav,sadness,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-04-02-02-01-01.wav,sadness,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-04-02-02-02-01.wav,sadness,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-05-01-01-01-01.wav,anger,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-05-01-01-02-01.wav,anger,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-05-01-02-01-01.wav,anger,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-05-01-02-02-01.wav,anger,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-05-02-01-01-01.wav,anger,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-05-02-01-02-01.wav,anger,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-05-02-02-01-01.wav,anger,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-05-02-02-02-01.wav,anger,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-06-01-01-01-01.wav,fear,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-06-01-01-02-01.wav,fear,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-06-01-02-01-01.wav,fear,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-06-01-02-02-01.wav,fear,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-06-02-01-01-01.wav,fear,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-06-02-01-02-01.wav,fear,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-06-02-02-01-01.wav,fear,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-06-02-02-02-01.wav,fear,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-07-01-01-01-01.wav,disgust,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-07-01-01-02-01.wav,disgust,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-07-01-02-01-01.wav,disgust,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-07-01-02-02-01.wav,disgust,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-07-02-01-01-01.wav,disgust,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-07-02-01-02-01.wav,disgust,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-07-02-02-01-01.wav,disgust,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-07-02-02-02-01.wav,disgust,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-08-01-01-01-01.wav,surprise,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-08-01-01-02-01.wav,surprise,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-08-01-02-01-01.wav,surprise,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-08-01-02-02-01.wav,surprise,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-08-02-01-01-01.wav,surprise,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-08-02-01-02-01.wav,surprise,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-08-02-02-01-01.wav,surprise,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_01\03-01-08-02-02-02-01.wav,surprise,ravdess,actor_01,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-01-01-01-01-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-01-01-01-02-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-01-01-02-01-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-01-01-02-02-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-02-01-01-01-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-02-01-01-02-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-02-01-02-01-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-02-01-02-02-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-02-02-01-01-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-02-02-01-02-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-02-02-02-01-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-02-02-02-02-02.wav,neutral,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-03-01-01-01-02.wav,joy,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-03-01-01-02-02.wav,joy,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-03-01-02-01-02.wav,joy,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-03-01-02-02-02.wav,joy,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-03-02-01-01-02.wav,joy,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-03-02-01-02-02.wav,joy,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-03-02-02-01-02.wav,joy,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-03-02-02-02-02.wav,joy,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-04-01-01-01-02.wav,sadness,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-04-01-01-02-02.wav,sadness,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-04-01-02-01-02.wav,sadness,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-04-01-02-02-02.wav,sadness,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-04-02-01-01-02.wav,sadness,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-04-02-01-02-02.wav,sadness,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-04-02-02-01-02.wav,sadness,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-04-02-02-02-02.wav,sadness,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-05-01-01-01-02.wav,anger,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-05-01-01-02-02.wav,anger,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-05-01-02-01-02.wav,anger,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-05-01-02-02-02.wav,anger,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-05-02-01-01-02.wav,anger,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-05-02-01-02-02.wav,anger,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-05-02-02-01-02.wav,anger,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-05-02-02-02-02.wav,anger,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-06-01-01-01-02.wav,fear,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-06-01-01-02-02.wav,fear,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-06-01-02-01-02.wav,fear,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-06-01-02-02-02.wav,fear,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-06-02-01-01-02.wav,fear,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-06-02-01-02-02.wav,fear,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-06-02-02-01-02.wav,fear,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-06-02-02-02-02.wav,fear,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-07-01-01-01-02.wav,disgust,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-07-01-01-02-02.wav,disgust,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-07-01-02-01-02.wav,disgust,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-07-01-02-02-02.wav,disgust,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-07-02-01-01-02.wav,disgust,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-07-02-01-02-02.wav,disgust,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-07-02-02-01-02.wav,disgust,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-07-02-02-02-02.wav,disgust,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-08-01-01-01-02.wav,surprise,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-08-01-01-02-02.wav,surprise,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-08-01-02-01-02.wav,surprise,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-08-01-02-02-02.wav,surprise,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-08-02-01-01-02.wav,surprise,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-08-02-01-02-02.wav,surprise,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-08-02-02-01-02.wav,surprise,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_02\03-01-08-02-02-02-02.wav,surprise,ravdess,actor_02,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-01-01-01-01-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-01-01-01-02-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-01-01-02-01-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-01-01-02-02-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-02-01-01-01-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-02-01-01-02-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-02-01-02-01-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-02-01-02-02-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-02-02-01-01-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-02-02-01-02-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-02-02-02-01-03.wav,neutral,ravdess,actor_03,all
C:\Users\Rafa\Downloads\proyecto-ia-20260212T103152Z-3-001\proyecto-ia\multimodal-emocion\data\audio\raw\ravdess\Actor_03\03-01-02-02-02-02-03.wav,neutral,ravdess,actor_03,all
